prompt,baseline,best
"35mm macro shot a kitten licking a baby duck, studio lighting.",0.1728246808052063,1.9957761764526367
A 1960s poster warning against climate change.,0.8221855163574219,1.1954104900360107
A 1960s yearbook photo with animals dressed as humans.,-1.42014479637146,0.668026328086853
"A baby fennec sneezing onto a strawberry, detailed, macro, studio light, droplets, backlit ears.",0.859383225440979,1.8953322172164917
A banana on the left of an apple.,0.9549298286437988,1.7558454275131226
A bicycle on top of a boat.,1.4497696161270142,1.9452699422836304
A bird scaring a scarecrow.,-0.47847476601600647,1.8283098936080933
A black apple and a green backpack.,-1.1655161380767822,1.7464014291763306
A black colored banana.,-0.6379027962684631,0.6845731735229492
A black colored car.,0.2727220356464386,1.062107801437378
A black colored dog.,0.9888786673545837,1.5979652404785156
A black colored sandwich.,0.10200034081935883,1.3339678049087524
A blue bird and a brown bear.,1.5840336084365845,1.932650089263916
A blue colored dog.,0.6568920612335205,1.9010353088378906
A blue coloured pizza.,-0.6332686543464661,1.732789397239685
A blue cup and a green cell phone.,-1.6336408853530884,1.5048651695251465
"A bridge connecting Europe and North America on the Atlantic Ocean, bird's eye view.",0.5564451217651367,1.378487229347229
A brown bird and a blue bear.,-1.6815234422683716,1.839822769165039
A brown colored giraffe.,0.10157038271427155,0.5727347135543823
A car on the left of a bus.,-0.8559393882751465,1.6675431728363037
"A car playing soccer, digital art.",-1.9159317016601562,1.8809243440628052
A carrot on the left of a broccoli.,1.1089551448822021,1.3942323923110962
A cat on the left of a dog.,1.121324896812439,1.7361714839935303
A cat on the right of a tennis racket.,0.31524017453193665,1.7041826248168945
A church with stained glass windows depicting a hamburger and french fries.,-2.1284241676330566,1.1246342658996582
A collection of nail is sitting on a table.,-1.1376091241836548,0.975362241268158
A connection point by which firefighters can tap into a water supply.,-1.5180885791778564,1.3664418458938599
A couch on the left of a chair.,-0.019874272868037224,1.174965739250183
A couple of glasses are sitting on a table.,0.4455677568912506,1.3081010580062866
A cross-section view of a brain.,0.6014304757118225,1.1812632083892822
A cube made of brick. A cube with the texture of brick.,-1.1918673515319824,1.7702223062515259
A cube made of denim. A cube with the texture of denim.,1.8765201568603516,1.97636878490448
"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.",-0.11760310083627701,1.5555909872055054
"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",-0.0586855411529541,1.6763535737991333
"A domesticated carnivvorous mzammal that typicbally hfaas a lons sfnout, an acxujte sense off osmell, noneetractaaln crlaws, anid xbarkring,y howlingu, or whining rvoiche.",0.6365615725517273,1.7752156257629395
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",0.12554892897605896,1.5987883806228638
A donut underneath a toilet.,1.2162588834762573,1.6874316930770874
A fish eating a pelican.,-1.280938982963562,1.5998936891555786
A fisheye lens view of a turtle sitting in a forest.,1.3782026767730713,1.8635056018829346
"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",1.5848033428192139,1.9651633501052856
A giraffe underneath a microwave.,-2.2294511795043945,1.3605870008468628
A green apple and a black backpack.,-2.148545503616333,1.9416606426239014
A green colored banana.,-1.069609522819519,-0.09068582206964493
A green cup and a blue cell phone.,-1.8415030241012573,1.5091421604156494
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",-0.4460979104042053,0.3954601287841797
A hair drier underneath a sheep.,-0.6684024930000305,1.2448855638504028
A horse riding an astronaut.,1.815766453742981,1.9925289154052734
"A keyboard made of water, the water is made of light, the light is turned off.",-1.4793500900268555,1.5437391996383667
A laptop on top of a teddy bear.,1.3401310443878174,1.8743785619735718
"A large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed. The strings' vibration is stopped by dampers when the keys are released and can be regulated for length and volume by two or three pedals.",-0.05684254318475723,1.5370341539382935
"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",0.09535250812768936,1.4148257970809937
"A large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail, used for riding, racing, and to carry and pull loads.",0.39248132705688477,1.7257620096206665
"A large thick-skinned semiaquatic African mammal, with massive jaws and large tusks.",-1.2796038389205933,1.776737093925476
"A ldarge keybord msical instroument lwith a woden case enmclosig a qsouvnkboajrd and mfgtal strivgf, which are strucrk b hammrs when the nels are depresdsmed.f lhe strsingsj' vibration ie stopped by damperds when the keys re released and can bce regulavewdd for lengh and vnolume y two or three pedalvs.",-0.11400861293077469,0.4032312035560608
A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe.,-1.262941837310791,1.1006479263305664
"A machine next to a parking space in a street, into which the driver puts money so as to be authorized to park the vehicle for a particular length of time.",-0.3518347442150116,1.7141735553741455
A machine resembling a human being and able to replicate certain human movements and functions automatically.,1.1842912435531616,1.7760605812072754
