prompt,baseline,best
"35mm macro shot a kitten licking a baby duck, studio lighting.",0.1728246808052063,2.0085370540618896
A 1960s poster warning against climate change.,0.8221855163574219,1.5109226703643799
A 1960s yearbook photo with animals dressed as humans.,-1.42014479637146,1.2507561445236206
"A baby fennec sneezing onto a strawberry, detailed, macro, studio light, droplets, backlit ears.",0.859383225440979,1.9883038997650146
A banana on the left of an apple.,0.9549298286437988,1.8083481788635254
A bicycle on top of a boat.,1.4497696161270142,1.9602934122085571
A bird scaring a scarecrow.,-0.47847476601600647,1.8927148580551147
A black apple and a green backpack.,-1.1655161380767822,1.9325308799743652
A black colored banana.,-0.6379027962684631,0.374381422996521
A black colored car.,0.2727220356464386,1.4272321462631226
A black colored dog.,0.9888786673545837,1.7769415378570557
A black colored sandwich.,0.10200034081935883,1.4885839223861694
A blue bird and a brown bear.,1.5840336084365845,1.9591410160064697
A blue colored dog.,0.6568920612335205,1.9380009174346924
A blue coloured pizza.,-0.6332686543464661,1.841750144958496
A blue cup and a green cell phone.,-1.6336408853530884,1.7890666723251343
"A bridge connecting Europe and North America on the Atlantic Ocean, bird's eye view.",0.5564451217651367,1.5507967472076416
A brown bird and a blue bear.,-1.6815234422683716,1.8729443550109863
A brown colored giraffe.,0.10157038271427155,0.554989218711853
A car on the left of a bus.,-0.8559393882751465,1.6935404539108276
"A car playing soccer, digital art.",-1.9159317016601562,1.9090955257415771
A carrot on the left of a broccoli.,1.1089551448822021,1.5992149114608765
A cat on the left of a dog.,1.121324896812439,1.8206461668014526
A cat on the right of a tennis racket.,0.31524017453193665,1.9137974977493286
A church with stained glass windows depicting a hamburger and french fries.,-2.1284241676330566,1.9058048725128174
A collection of nail is sitting on a table.,-1.1376091241836548,0.9186601042747498
A connection point by which firefighters can tap into a water supply.,-1.5180885791778564,1.5238380432128906
A couch on the left of a chair.,-0.019874272868037224,1.5548434257507324
A couple of glasses are sitting on a table.,0.4455677568912506,1.333353042602539
A cross-section view of a brain.,0.6014304757118225,1.2653403282165527
A cube made of brick. A cube with the texture of brick.,-1.1918673515319824,1.9149656295776367
A cube made of denim. A cube with the texture of denim.,1.8765201568603516,1.9753429889678955
"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.",-0.11760310083627701,1.7066490650177002
"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",-0.0586855411529541,1.8614791631698608
"A domesticated carnivvorous mzammal that typicbally hfaas a lons sfnout, an acxujte sense off osmell, noneetractaaln crlaws, anid xbarkring,y howlingu, or whining rvoiche.",0.6365615725517273,1.8284204006195068
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",0.12554892897605896,1.9576047658920288
A donut underneath a toilet.,1.2162588834762573,1.903849720954895
A fish eating a pelican.,-1.280938982963562,1.7789769172668457
A fisheye lens view of a turtle sitting in a forest.,1.3782026767730713,1.9109505414962769
"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",1.5848033428192139,1.9819297790527344
A giraffe underneath a microwave.,-2.2294511795043945,1.6971385478973389
A green apple and a black backpack.,-2.148545503616333,1.9572720527648926
A green colored banana.,-1.069609522819519,0.07699333131313324
A green cup and a blue cell phone.,-1.8415030241012573,1.8275697231292725
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",-0.4460979104042053,1.1406522989273071
A hair drier underneath a sheep.,-0.6684024930000305,1.8737611770629883
A horse riding an astronaut.,1.815766453742981,1.9841424226760864
"A keyboard made of water, the water is made of light, the light is turned off.",-1.4793500900268555,1.8008623123168945
A laptop on top of a teddy bear.,1.3401310443878174,1.8979694843292236
"A large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed. The strings' vibration is stopped by dampers when the keys are released and can be regulated for length and volume by two or three pedals.",-0.05684254318475723,1.562869906425476
"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",0.09535250812768936,1.6369829177856445
