prompt,highest_score_img_reward,lowest_score_img_reward,baseline_score_img_reward,highest_score_hpsv,lowest_score_hpsv,baseline_score_hpsv,highest_score_clip,lowest_score_clip,baseline_score_clip,highest_score_aesthetic,lowest_score_aesthetic,baseline_score_aesthetic,lowest_accuracy_to_prompt,lowest_creativity_and_originality,lowest_visual_quality_and_realism,lowest_consistency_and_cohesion,lowest_emotional_or_thematic_resonance,lowest_overall_score,baseline_accuracy_to_prompt,baseline_creativity_and_originality,baseline_visual_quality_and_realism,baseline_consistency_and_cohesion,baseline_emotional_or_thematic_resonance,baseline_overall_score,highest_accuracy_to_prompt,highest_creativity_and_originality,highest_visual_quality_and_realism,highest_consistency_and_cohesion,highest_emotional_or_thematic_resonance,highest_overall_score
A red colored car.,1.2574056386947632,0.636502742767334,0.9019576907157898,0.3046594858169555,0.2810573577880859,0.2840306460857391,25.842918395996097,20.54219627380371,24.480640411376953,3.7065000534057617,3.6798391342163086,3.3661141395568848,10.0,8.0,9.0,10.0,8.0,9.0,9.0,6.0,9.0,10.0,5.0,7.8,10.0,5.0,8.0,9.0,3.0,7.0
A black colored car.,0.7362620234489441,-0.2212517708539962,0.4993453025817871,0.2974786758422851,0.286870002746582,0.2981405854225158,25.165512084960938,23.7249755859375,22.99175453186035,3.894663810729981,3.980446815490722,3.521291732788086,10.0,5.0,9.0,10.0,7.0,8.2,10.0,6.0,9.0,10.0,5.0,8.0,10.0,8.0,9.0,9.0,8.0,8.8
A pink colored car.,1.790542721748352,1.4557290077209473,1.4557290077209473,0.2887694537639618,0.2836229503154754,0.2836229503154754,28.913715362548828,26.598657608032227,26.598657608032227,3.9199485778808594,3.222334384918213,3.222334384918213,10.0,7.0,9.0,9.0,8.0,8.6,10.0,7.0,9.0,9.0,8.0,8.6,10.0,7.0,8.0,10.0,7.0,8.4
A black colored dog.,1.415825128555298,1.0680922269821167,1.2501686811447144,0.300160676240921,0.2948765158653259,0.2925626635551452,27.09551429748535,25.86821746826172,28.110017776489254,3.845275402069092,4.012655258178711,3.553302764892578,10.0,5.0,9.0,10.0,7.0,8.2,10.0,5.0,9.0,10.0,7.0,8.2,10.0,6.0,9.0,10.0,7.0,8.4
A red colored dog.,1.7949122190475464,1.4243512153625488,1.4991074800491333,0.2974976599216461,0.2949411869049072,0.2944205403327942,28.69207763671875,30.24941635131836,30.068002700805664,4.725252151489258,3.86278772354126,3.8716230392456055,10.0,5.0,9.0,10.0,3.0,7.4,10.0,5.0,9.0,10.0,5.0,8.0,10.0,5.0,9.0,10.0,6.0,8.0
A blue colored dog.,1.8648947477340696,1.267632246017456,1.267632246017456,0.3035962879657745,0.2978493869304657,0.2978493869304657,29.04185485839844,29.487398147583008,29.487398147583008,4.2022705078125,3.6407957077026367,3.6407957077026367,10.0,8.0,9.0,10.0,7.0,8.8,10.0,7.0,9.0,10.0,6.0,8.4,10.0,8.0,9.0,10.0,8.0,9.0
A green colored banana.,-0.0574469268321991,-0.9184798002243042,-0.9184798002243042,0.2693053781986236,0.2667372524738312,0.2667372524738312,29.016151428222656,26.423789978027344,26.423789978027344,3.4451661109924316,3.3111376762390137,3.3111376762390137,10.0,5.0,9.0,10.0,3.0,7.4,10.0,5.0,9.0,10.0,3.0,7.4,10.0,3.0,5.0,10.0,1.0,6.0
A red colored banana.,0.1136544123291969,-1.8750554323196411,-1.8750554323196411,0.2779757380485534,0.2666308283805847,0.2666308283805847,32.42429733276367,26.0048885345459,26.0048885345459,3.5089077949523926,3.225472927093506,3.225472927093506,2.0,1.0,9.0,10.0,1.0,4.6,2.0,1.0,9.0,10.0,1.0,4.6,10.0,7.0,9.0,10.0,7.0,8.6
A black colored banana.,0.1765363812446594,-1.978850245475769,-1.639310002326965,0.2767349183559418,0.2646830976009369,0.2676030397415161,27.482297897338867,24.334686279296875,25.18558692932129,3.4825339317321777,2.700794219970703,2.8792996406555176,1.0,1.0,8.0,10.0,2.0,4.4,1.0,1.0,9.0,10.0,1.0,4.4,9.0,7.0,9.0,10.0,5.0,8.0
A white colored sandwich.,0.0434986799955368,-0.7386453747749329,-0.1398999094963073,0.2987570166587829,0.2901202440261841,0.287030428647995,23.473316192626953,25.220252990722656,25.98775863647461,3.303070545196533,2.46220064163208,3.4851765632629395,10.0,5.0,9.0,10.0,3.0,7.4,9.0,5.0,8.0,9.0,6.0,7.4,9.0,6.0,8.0,9.0,7.0,7.8
A black colored sandwich.,0.7080804705619812,-0.4381161034107208,0.0985781475901603,0.2904052138328552,0.2916876077651977,0.2937976717948913,26.43335723876953,29.15899658203125,25.157865524291992,3.637628555297851,3.792743682861328,3.5141663551330566,10.0,9.0,9.0,10.0,8.0,9.2,7.0,6.0,8.0,9.0,5.0,7.0,9.0,6.0,8.0,9.0,5.0,7.4
An orange colored sandwich.,0.5533292889595032,-0.3402667641639709,-0.3402667641639709,0.2849120795726776,0.2827881574630737,0.2827881574630737,30.760330200195312,30.103763580322266,30.103763580322266,3.397082805633545,3.5042810440063477,3.5042810440063477,7.0,5.0,8.0,9.0,3.0,6.4,10.0,7.0,9.0,10.0,6.0,8.4,8.0,6.0,9.0,10.0,5.0,7.6
