prompt,baseline,best
"35mm macro shot a kitten licking a baby duck, studio lighting.",1.4512646198272705,1.9804521799087524
A 1960s poster warning against climate change.,0.207868754863739,1.2537606954574585
A 1960s yearbook photo with animals dressed as humans.,-1.0675231218338013,1.2179770469665527
"A baby fennec sneezing onto a strawberry, detailed, macro, studio light, droplets, backlit ears.",0.8883153796195984,1.8796191215515137
A banana on the left of an apple.,-1.9277517795562744,1.3794445991516113
A bicycle on top of a boat.,1.6191847324371338,1.9256012439727783
A bird scaring a scarecrow.,0.8249654173851013,1.8808923959732056
A black apple and a green backpack.,-1.6722469329833984,1.9278101921081543
A black colored banana.,-2.1206467151641846,0.34155645966529846
A black colored car.,0.41573813557624817,1.2675482034683228
A black colored dog.,1.0575737953186035,1.5584566593170166
A black colored sandwich.,-0.24193958938121796,0.7862352132797241
A blue bird and a brown bear.,1.6701825857162476,1.8547345399856567
A blue colored dog.,0.184549480676651,1.934233546257019
A blue coloured pizza.,-1.3334767818450928,1.761730432510376
A blue cup and a green cell phone.,1.4752830266952515,1.7416341304779053
"A bridge connecting Europe and North America on the Atlantic Ocean, bird's eye view.",0.7079526782035828,1.3846293687820435
A brown bird and a blue bear.,1.3922735452651978,1.645476222038269
A brown colored giraffe.,-0.41038575768470764,0.30362334847450256
A car on the left of a bus.,-0.4380120635032654,1.5048840045928955
"A car playing soccer, digital art.",-1.527694821357727,1.6066994667053223
A carrot on the left of a broccoli.,0.38626429438591003,1.463735580444336
A cat on the left of a dog.,0.028287388384342194,1.6674652099609375
A cat on the right of a tennis racket.,-1.4473414421081543,1.7660577297210693
A church with stained glass windows depicting a hamburger and french fries.,-1.9685531854629517,1.439543604850769
A collection of nail is sitting on a table.,-1.299800992012024,0.03890275955200195
A connection point by which firefighters can tap into a water supply.,-0.29457736015319824,1.361236572265625
A couch on the left of a chair.,-0.27371782064437866,1.3743153810501099
A couple of glasses are sitting on a table.,0.3342534601688385,0.8196897506713867
A cross-section view of a brain.,0.7814998626708984,1.0815746784210205
A cube made of brick. A cube with the texture of brick.,1.7258774042129517,1.8985921144485474
A cube made of denim. A cube with the texture of denim.,1.9069695472717285,1.9527643918991089
"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.",-0.7344604730606079,1.4367083311080933
"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",0.27107927203178406,1.8122236728668213
"A domesticated carnivvorous mzammal that typicbally hfaas a lons sfnout, an acxujte sense off osmell, noneetractaaln crlaws, anid xbarkring,y howlingu, or whining rvoiche.",0.4821518361568451,1.721602201461792
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",0.632609486579895,1.8625030517578125
A donut underneath a toilet.,-0.9127664566040039,1.5890315771102905
A fish eating a pelican.,-0.4644498825073242,1.44423508644104
A fisheye lens view of a turtle sitting in a forest.,0.522007167339325,1.8528326749801636
"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",0.43101221323013306,1.904820203781128
A giraffe underneath a microwave.,0.7251529693603516,1.248682975769043
A green apple and a black backpack.,-2.0520763397216797,1.868746042251587
A green colored banana.,-1.4498581886291504,-0.08122193068265915
A green cup and a blue cell phone.,-2.184391975402832,1.2801843881607056
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",-1.1112947463989258,0.44724732637405396
A hair drier underneath a sheep.,-0.6585770845413208,1.7661033868789673
A horse riding an astronaut.,1.8561978340148926,1.946733832359314
"A keyboard made of water, the water is made of light, the light is turned off.",-0.47401171922683716,1.560695767402649
A laptop on top of a teddy bear.,-0.21053512394428253,1.7094067335128784
"A large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed. The strings' vibration is stopped by dampers when the keys are released and can be regulated for length and volume by two or three pedals.",0.2413863092660904,1.5487135648727417
"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",0.28598257899284363,0.9142094254493713
"A large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail, used for riding, racing, and to carry and pull loads.",1.3988385200500488,1.8009881973266602
"A large thick-skinned semiaquatic African mammal, with massive jaws and large tusks.",-0.11864062398672104,1.911985993385315
"A ldarge keybord msical instroument lwith a woden case enmclosig a qsouvnkboajrd and mfgtal strivgf, which are strucrk b hammrs when the nels are depresdsmed.f lhe strsingsj' vibration ie stopped by damperds when the keys re released and can bce regulavewdd for lengh and vnolume y two or three pedalvs.",-0.10986170917749405,0.5807209610939026
A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe.,-0.9395578503608704,0.6000820994377136
"A machine next to a parking space in a street, into which the driver puts money so as to be authorized to park the vehicle for a particular length of time.",1.0530942678451538,1.7000271081924438
A machine resembling a human being and able to replicate certain human movements and functions automatically.,0.19393905997276306,1.791732668876648
"A maglev train going vertically downward in high speed, New York Times photojournalism.",1.6051255464553833,1.8518108129501343
A magnifying glass over a page of a 1950s batman comic.,-0.21002817153930664,1.8210992813110352
A mechanical or electrical device for measuring time.,0.25957727432250977,1.05369234085083
A medieval painting of the wifi not working.,-0.7942540049552917,0.4315488338470459
"A painting by Grant Wood of an astronaut couple, american gothic style.",-0.08677017688751221,1.244572401046753
A panda making latte art.,1.3531113862991333,1.8714848756790161
A pear cut into seven pieces arranged in a ring.,1.4836708307266235,1.9060115814208984
A photo of a confused grizzly bear in calculus class.,0.6953649520874023,1.945629596710205
A photocopy of a photograph of a painting of a sculpture of a giraffe.,-1.2055749893188477,1.2385742664337158
A pink colored car.,1.771927833557129,1.8792598247528076
A pink colored giraffe.,1.2906492948532104,1.516127109527588
A pizza cooking an oven.,0.9150038957595825,1.4951690435409546
A pizza on the right of a suitcase.,-0.8066214323043823,1.2433853149414062
A pyramid made of falafel with a partial solar eclipse in the background.,0.3593272864818573,1.977745771408081
"A real life photography of super mario, 8k Ultra HD.",0.961757242679596,1.2037476301193237
A realistic photo of a Pomeranian dressed up like a 1980s professional wrestler with neon green and neon orange face paint and bright green wrestling tights with bright orange boots.,0.35564950108528137,1.8306729793548584
A red book and a yellow vase.,1.8150030374526978,1.96909499168396
A red car and a white sheep.,1.5581997632980347,1.9549570083618164
A red colored banana.,-0.9739698171615601,0.23895132541656494
A red colored car.,-0.15838287770748138,1.4534589052200317
A red colored dog.,-0.2961979806423187,1.7837027311325073
A screenshot of an iOS app for ordering different types of milk.,-0.6102953553199768,1.6122896671295166
"A separate seat for one person, typically with a back and four legs.",-0.49724081158638,0.9112057089805603
A shark in the desert.,-0.8684006929397583,1.7871907949447632
A sheep to the right of a wine glass.,1.7022528648376465,1.926666021347046
A side view of an owl sitting in a field.,1.2444039583206177,1.4798099994659424
A sign that says 'Deep Learning'.,0.2844528555870056,1.7510337829589844
A sign that says 'Diffusion'.,0.7378965020179749,1.5813068151474
A sign that says 'Google Brain Toronto'.,-0.48148998618125916,0.6556909680366516
A sign that says 'Google Research Pizza Cafe'.,-1.4145894050598145,1.3566319942474365
A sign that says 'Hello World'.,-0.9267852306365967,1.650984525680542
A sign that says 'NeurIPS'.,-0.38321244716644287,1.3812445402145386
A sign that says 'Text to Image'.,-1.178972601890564,0.6069806218147278
A single clock is sitting on a table.,-0.0268239788711071,1.1584675312042236
"A sjmall domesticated carnivorious mammnal with sof fuh,y a sthort sout, and retracwtablbe flaws. It iw widexly kept as a pet or for catchitng mic, ad many breeds zhlyde beefn develvoked.",-0.01794169470667839,1.205033302307129
"A smafml vessef epropoeilled on watvewr by ors, sauls, or han engie.",-0.5623407959938049,0.5499614477157593
A small blue book sitting on a large red book.,0.017520561814308167,1.4917991161346436
"A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws. It is widely kept as a pet or for catching mice, and many breeds have been developed.",0.7644647359848022,1.733948826789856
"A small vessel propelled on water by oars, sails, or an engine.",-0.8032594919204712,0.6063964366912842
A sphere made of kitchen tile. A sphere with the texture of kitchen tile.,1.4216498136520386,1.8636996746063232
A spider with a moustache bidding an equally gentlemanly grasshopper a good day during his walk to work.,-0.34441065788269043,0.6007658243179321
"A stack of 3 books. A green book is on the top, sitting on a red book. The red book is in the middle, sitting on a blue book. The blue book is on the bottom.",0.6450843214988708,1.7233412265777588
"A stack of 3 cubes. A red cube is on the top, sitting on a red cube. The red cube is in the middle, sitting on a green cube. The green cube is on the bottom.",1.2374849319458008,1.7667622566223145
"A stack of 3 plates. A blue plate is on the top, sitting on a blue plate. The blue plate is in the middle, sitting on a green plate. The green plate is on the bottom.",-0.31731170415878296,1.593245506286621
A stop sign on the right of a refrigerator.,-0.3434964120388031,1.8117073774337769
A storefront with 'Deep Learning' written on it.,0.5080018043518066,1.929732084274292
A storefront with 'Diffusion' written on it.,0.48867422342300415,1.828399658203125
A storefront with 'Google Brain Toronto' written on it.,0.4816054105758667,1.4935431480407715
A storefront with 'Google Research Pizza Cafe' written on it.,0.6212112307548523,1.8639049530029297
A storefront with 'Hello World' written on it.,1.045738935470581,1.8652974367141724
A storefront with 'NeurIPS' written on it.,0.5524564981460571,1.6496481895446777
A storefront with 'Text to Image' written on it.,1.0282140970230103,1.8291525840759277
A tennis racket underneath a traffic light.,-1.168759822845459,1.8308483362197876
"A tiger in a lab coat with a 1980s Miami vibe, turning a well oiled science content machine, digital art.",-1.6568671464920044,1.8856128454208374
A tomato has been put on top of a pumpkin on a kitchen stool. There is a fork sticking into the pumpkin. The scene is viewed from above.,-1.7192087173461914,-0.458992063999176
A train on top of a surfboard.,-1.2488558292388916,1.8985997438430786
A triangular orange picture frame. An orange picture frame in the shape of a triangle.,-0.07069889456033707,1.8856502771377563
A triangular pink stop sign. A pink stop sign in the shape of a triangle.,-0.8930151462554932,1.8229912519454956
A triangular purple flower pot. A purple flower pot in the shape of a triangle.,0.2215631604194641,1.8869222402572632
"A type of digital currency in which a record of transactions is maintained and new units of currency are generated by the computational solution of mathematical problems, and which operates independently of a central bank.",-1.3701629638671875,0.6271763443946838
