prompt,baseline,best
"35mm macro shot a kitten licking a baby duck, studio lighting.",1.7572805881500244,1.9691890478134155
A 1960s poster warning against climate change.,-0.12982751429080963,1.021616816520691
A 1960s yearbook photo with animals dressed as humans.,-0.7705310583114624,0.9619576334953308
"A baby fennec sneezing onto a strawberry, detailed, macro, studio light, droplets, backlit ears.",0.9725648164749146,1.797285795211792
A banana on the left of an apple.,-1.2894647121429443,1.5795048475265503
A bicycle on top of a boat.,0.26718229055404663,1.8800032138824463
A bird scaring a scarecrow.,0.1336411088705063,1.7681667804718018
A black apple and a green backpack.,0.3395547866821289,1.9203046560287476
A black colored banana.,-1.7482808828353882,0.1298975795507431
A black colored car.,0.6891389489173889,1.27910315990448
A black colored dog.,0.1485343724489212,1.454906702041626
A black colored sandwich.,-0.44614309072494507,0.6652258634567261
A blue bird and a brown bear.,-1.6872488260269165,1.8963239192962646
A blue colored dog.,1.279900312423706,1.8729909658432007
A blue coloured pizza.,-0.34951502084732056,1.7071549892425537
A blue cup and a green cell phone.,0.2780308127403259,1.4891337156295776
"A bridge connecting Europe and North America on the Atlantic Ocean, bird's eye view.",1.0486117601394653,1.225280523300171
A brown bird and a blue bear.,-2.2508652210235596,1.7312606573104858
A brown colored giraffe.,-1.0287977457046509,0.4095603823661804
A car on the left of a bus.,-0.8030325174331665,1.429376482963562
"A car playing soccer, digital art.",0.7619655728340149,1.738784909248352
A carrot on the left of a broccoli.,-1.6765539646148682,1.4017994403839111
A cat on the left of a dog.,-0.5286553502082825,1.7556548118591309
A cat on the right of a tennis racket.,1.1029441356658936,1.7929331064224243
A church with stained glass windows depicting a hamburger and french fries.,-1.7492753267288208,1.3422473669052124
A collection of nail is sitting on a table.,-0.21680255234241486,0.3800418972969055
A connection point by which firefighters can tap into a water supply.,-0.2663132846355438,1.4054869413375854
A couch on the left of a chair.,-0.1500464528799057,1.2294695377349854
A couple of glasses are sitting on a table.,0.42212286591529846,0.7956628203392029
A cross-section view of a brain.,0.19647352397441864,1.1326746940612793
A cube made of brick. A cube with the texture of brick.,-0.8082814812660217,1.811187982559204
A cube made of denim. A cube with the texture of denim.,1.1681238412857056,1.957682490348816
"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.",1.045188546180725,1.3804590702056885
"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",1.5758056640625,1.6759263277053833
"A domesticated carnivvorous mzammal that typicbally hfaas a lons sfnout, an acxujte sense off osmell, noneetractaaln crlaws, anid xbarkring,y howlingu, or whining rvoiche.",0.5232948660850525,1.5954021215438843
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",0.8894367814064026,1.8419615030288696
A donut underneath a toilet.,-2.1253926753997803,1.5812753438949585
A fish eating a pelican.,0.7750396132469177,1.414947509765625
A fisheye lens view of a turtle sitting in a forest.,0.8367424607276917,1.7449299097061157
"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",1.1062403917312622,1.9050333499908447
A giraffe underneath a microwave.,-2.215907573699951,1.3563401699066162
A green apple and a black backpack.,-1.8643145561218262,1.8948924541473389
A green colored banana.,-1.1172858476638794,-0.2316543608903885
A green cup and a blue cell phone.,-0.2029837816953659,1.4802876710891724
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",-1.0283775329589844,0.39814209938049316
